2684036973;Warning;Ostrzeżenie;
1383514699;Error;Błąd;
3350521973;Information;Informacja;
1316644629;Confirm;Potwierdź;
3947195745;Yes;Tak;
2146190508;No;Nie;
2358828542;Help;Pomoc;
2720647744;Abort;Przerwij;
3837656356;Retry;Spróbuj ponownie;
2139218608;Ignore;Ignoruj;
160641241;All;Wszystko;
2814388637;No to All;Nie dla wszystkich;
3416892858;Yes to &All;Tak dla wszystkich;
3028112581;Close;Zamknij;
3015914663;Append;Dołącz;
13974256;Group only;Tylko grupę;
1738888091;Group and contents;Grupę z zawartością;
13089855;Do not show again;Nie pokazuj ponownie;
2303309233;inches;cale;
1022930637;cm;cm;
1580650421;mm;mm;
3651598543;pixels;piksele;
2306315615;bytes;bajty;
1975969638;MB;MB;
1987705820;GB;GB;
67569897;KB;KB;
3292284349;dpi;dpi;
1856824032;seconds;sekundy;
44042547;minutes;minuty;
2174184467;hours;godziny;
2928202106;%;%;
2261658832;°;°;
3922563459;px;px;
3757181610;BkSp;Backspace;
458111812;Tab;Tab;
2931467773;Esc;Esc;
2131123758;Enter;Enter;
4244691848;PgUp;Page Up;
3769246063;PgDn;Page Down;
703949232;End;End;
4286021847;Del;Del;
3429527308;Home;Home;
3626182864;Left;Lewo;
2037761779;Up;Góra;
1624670918;Right;Prawo;
2643773698;Down;Dół;
278209256;Num Lock;Num Lock;
503333868;Paragraph;Paragraf;
2640294868;Shift+;Shift+;
1358866094;Ctrl+;Ctrl+;
3164540656;Alt+;Alt+;
3164405955;Cmd+;Cmd+;
1384579703;Left Win;Lewy Win;
3957684733;Right Win;Prawy Win;
3762251484;Application;Aplikacja;
601449554;Clear;Wyczyść;
92327832;Scroll Lock;Scroll Lock;
1681734150;Break;Break;
3115882223;Left Shift;Lewy Shift;
1829977296;Right Shift;Prawy Shift;
1785340827;Left Ctrl;Lewy Ctrl;
225365541;Right Ctrl;Prawy Ctrl;
2507657643;Left Alt;Lewy Alt;
398086036;Right Alt;Prawy Alt;
2386186776;Caps Lock;Caps Lock;
3018309931;Oem \;Oem \;
3032528430;Space;Spacja;
640115520;Next;Dalej;
1955921717;Back;Wstecz;
3166705620;Ins;Insert;
3321319668;Pause;Pause;
2152677429;Camera;Kamera;
1445785277;BrowserBack;Browser Back;
1242435894;HardwareBack;Hardware Back;
923673361;Num;Num Lock;
1241407640;x;x;Normally no translation needed
1509019513;Could not complete your request because one or more parameters are not valid.;Nie można zrealizować żądania, ponieważ co najmniej jeden parametr jest nieprawidłowy.;
7148880;An unknown error has occurred (Error: %d).;Wystąpił nieznany błąd (błąd: %d).;
3531790986;Could not complete your request because the file format is not supported.;Nie można zrealizować żądania, ponieważ format pliku nie jest obsługiwany.;
3846059762;An unknown error has occurred while reading data.;Wystąpił nieznany błąd podczas odczytu danych.;
628596576;An unknown error has occurred while writing data.;Wystąpił nieznany błąd podczas zapisu danych.;
870038928;Could not complete your request because the command is not supported.;Nie można zrealizować żądania, ponieważ polecenie nie jest obsługiwane.;
2754284583;Cannot read the file "%s".;Nie można odczytać pliku "%s".;
2492620769;Cannot create or modify the file "%s".;Nie można utworzyć lub zmodyfikować pliku "%s".;
709797975;The version of the file "%s" is not supported.;Wersja pliku "%s" nie jest obsługiwana.;
2119534757;Cannot find the file "%s".;Nie można odnaleźć pliku "%s".;
2689859593;Could not complete your request because a tool is still in use.;Nie można zrealizować żądania, ponieważ narzędzie jest nadal w użyciu.;
2145079237;Open;Otwórz;
3376890595;Blending change;Zmień mieszanie;
1925778122;New layer;Nowa warstwa;
2811239440;New layer group;Nowa grupa warstw;
3986145156;Layer properties;Właściwości warstwy;
1839160406;Delete layer;Usuń warstwę;
3624563179;Delete layer group;Usuń grupę warstw;
3105136995;Duplicate layer;Powiel warstwę;
4202320692;Duplicate layer group;Powiel grupę warstw;
3155045711;Merge down;Połącz niższe;
3979440463;Merge layer group;Połącz grupę warstw;
1905006948;Merge visible;Połącz widoczne;
1427361677;Flatten document;Spłaszcz dokument;
4253478201;Send backward;Przesuń do tyłu;
770777443;Bring forward;Przesuń do przodu;
4294571674;Send to back;Umieść w tle;
991656125;Bring to front;Przesuń na wierzch;
233522055;Ungroup layers;Rozgrupuj warstwy;
3759086079;Lock all layers in group;Zablokuj wszystkie warstwy w grupie;
20334735;Convert background;Konwertuj tło;
3739520131;Convert layer;Konwertuj warstwę;
3213844861;Clear impasto;Czyść impast;
3178082378;Expand layer;Rozwiń warstwę;
1466145736;Layer opacity change;Zmień krycie warstwy;
1254061632;New selection;Nowe zaznaczenie;
1608453607;Delete selection;Usuń wybrane;
2720729028;Selection properties;Właściwości wyboru;
2059018377;Duplicate selection;Powiel wybór;
3824190190;Paste;Wklej;
663479052;Cut;Wytnij;
2008662730;Delete;Usuń;
977584210;Document mode;Tryb dokumentu;
2704683293;Duplicate document;Powiel dokument;
3674147906;Fill;Wypełnienie;
2914346112;Impasto properties;Właściwości impast;
2382740143;Canvas size;Rozmiar płótna;
1551270132;Document size;Rozmiar dokumentu;
1492360048;Rotate canvas;Obróć płótno;
363080588;Flip canvas vertical;Odbicie pionowe;
1584026382;Flip canvas horizontal;Odbicie poziome;
3450685375;Crop;Przytnij;
2662924940;Select canvas;Wybierz płótno;
632662779;Deselect;Odznacz;
3615698562;Select inverse;Odwróć zaznaczenie;
3784885386;Feather;Wtapianie;
2470771432;Contract;Zwęż;
4175978990;Expand;Rozszerz;
1454409850;Grow;Zwiększ;
878544803;Load selection;Wczytaj zaznaczenie;
3581266806;Save selection;Zapisz zaznaczenie;
150824285;New guide;Nowa prowadnica;
934968069;Clear guides;Wyczyść prowadnice;
1794506245;Rasterize layer;Rasteryzuj warstwę;
3243883983;Move layer;Przesuń warstwę;
2687424369;Drag guide;Przeciągnij prowadnicę;
3162872483;Selection tool;Narzędzie zaznaczania;
2161713970;Move selection;Przenieś zaznaczone;
591794241;Free transform;Przekształć swobodnie ;
46403304;Transform selection;Zaznacz przekształcenie;
611353025;Flip layer vertical;Odwróć warstwę pionowo;
2382842330;Flip layer horizontal;Odwróć warstwę poziomo;
697722098;Deskew;Prostowanie;
3121464829;Map gradient;Mapuj gradient;
4285898777;Content-Aware scale;Skaluj z uwzględnieniem zawartości;
3225118920;Clone document;Powiel dokument;
3894021700;Untitled %d;Bez nazwy %d;
3072785690;%s Copy;%s Kopia;
572085195;%s Recovered;%s Odzyskany;
1053156133;Clone of %s;Klon %s;
3075464692;Background;Tło;
2765723362;Layer %d;Warstwa %d;
3799652762;Group %d;Grupa %d;
2602251905;Selection %d;Zaznaczenie %d;
2095195035;Creating new document;Tworzenie nowego dokumentu;
3037062381;Creating new layer;Tworzenie nowej warstwy;
853412133;Checking for updates;Sprawdzanie dostępności aktualizacji;
3422908374;Reading document;Odczytywanie dokumentu;
137769928;Writing document;Zapisywanie dokumentu;
163425416;Reading file;Odczytywanie pliku;
2072436645;Writing file;Zapisywanie pliku;
3268687254;Processing command;Przetwarzanie polecenia;
3872943257;Creating new selection;Tworzenie nowego zaznaczenia;
4057128683;Printing document;Drukowanie dokumentu;
2724365063;Downloading update;Pobieranie aktualizacji;
266774323;Installing update;Instalowanie aktualizacji;
3427384226;Artweaver Document (*.Awd);Dokument Artweaver (*.Awd);
1025663834;Could not complete your request because this is not a valid Artweaver document.;Nie można zrealizować żądania, ponieważ nie jest to prawidłowy dokument Artweaver.;
3793225943;Some text layers contain fonts that are missing. The missing fonts were replaced by a default font. Missing fonts: %s.;Niektóre warstwy tekstowe zawierają czcionki, które są niedostępne. Brakujące czcionki zostały zastąpione domyślną czcionką. Brakujące czcionki: %s.;
